;url;Jahr;Laenge;Motor;Liegeplatz;Rumpfmaterial;YW#;Preis_String;Preis;Waehrung;Versteuert;Reserviert;Preis_Updates;Preis_Entwicklung;Preis_Ent_Datum;Datum_Ersterfassung;Datum_Letztes_Update;Alter_Anzeige
1359;https://www.yachtworld.de/Boote/1989/sabre-34-mark-ii-cb-3105168/;1989;10;  /;Rockland, ME;GFK (Fiberglas);1852-3105168;US$59,500 (EUR50,738)Reserviert;50738,0;euro;;Ja;0;50738.0,;;2021-04-01;;
1360;https://www.yachtworld.de/Boote/1939/sparkman-stephens-nevins-sloop-3714724/;1939;10;einmotorig / diesel;Rockland, ME;Holz;80197-3714724;US$69,500 (EUR59,265);59265,0;euro;;Nein;0;59265.0,;;2021-04-01;;
1361;https://www.yachtworld.de/Boote/1986/tartan-34-2-sloop-3716966/;1986;10;einmotorig / diesel;Ottawa, ON;GFK (Fiberglas);12264-3716966;Can$64,900 (EUR44,047);44047,0;euro;;Nein;0;44047.0,;;2021-04-01;;
1362;https://www.yachtworld.de/Boote/1986/ticon-34-ketch-3471546/;1986;10;einmotorig / diesel;Lanoka Harbor, NJ;GFK (Fiberglas);38264-3471546;US$49,900 (EUR42,551);42551,0;euro;;Nein;0;42551.0,;;2021-04-01;;
1363;https://www.yachtworld.de/Boote/2005/gemini-105-mc-3717669/;2005;10;einmotorig / diesel;Preveza, Griechenland;GFK (Fiberglas);82001-3717669;£54,950 Nicht versteuert (EUR64,584);64584,0;euro;Nein;Nein;0;64584.0,;;2021-04-01;;
1364;https://www.yachtworld.de/Boote/2006/hanse-342-3213224/;2006;10;einmotorig / diesel;MARSEILLE, Frankreich;GFK (Fiberglas);79902-3213224;EUR55,000 Versteuert;55000,0;euro;Ja;Nein;0;55000.0,;;2021-04-01;;
1365;https://www.yachtworld.de/Boote/1966/sailboat-havs-rnen-sea-eagle-ii-3748416/;1966;10;einmotorig / diesel;Jávea, Spanien;Holz;1323-3748416;EUR59,000;59000,0;euro;;Nein;0;59000.0,;;2021-04-01;;
1366;https://www.yachtworld.de/Boote/2009/adria-event-34-3615333/;2009;10;einmotorig / diesel;Dalmatia, Kroatien;GFK (Fiberglas);77383-3615333;EUR43,900 Versteuert;43900,0;euro;Ja;Nein;0;43900.0,;;2021-04-01;;
1367;https://www.yachtworld.de/Boote/2011/delphia-33-3-3695502/;2011;10;  /;Valencia, Spanien;GFK (Fiberglas);1323-3695502;EUR52,950 Versteuert;52950,0;euro;Ja;Nein;0;52950.0,;;2021-04-01;;
1368;https://www.yachtworld.de/Boote/2005/dufour-dufour-34-performance-3750546/;2005;10;einmotorig / diesel;FRANCE, Frankreich;Verbund;74851-3750546;EUR63,000;63000,0;euro;;Nein;0;63000.0,;;2021-04-01;;
1369;https://www.yachtworld.de/Boote/2009/event-34-3820037/;2009;10;einmotorig / diesel;Tkon-island Pasman, Kroatien;GFK (Fiberglas);80948-3820037;EUR44,900 Versteuert;44900,0;euro;Ja;Nein;0;44900.0,;;2021-04-01;;
1370;https://www.yachtworld.de/Boote/2004/hanse-341-3820935/;2004;10;einmotorig / diesel;Marche, Italien;GFK (Fiberglas);82073-3820935;EUR59,000;59000,0;euro;;Nein;0;59000.0,;;2021-04-01;;
1371;https://www.yachtworld.de/Boote/2003/hanse-341-2741266/;2003;10;einmotorig / diesel;Portugal;GFK (Fiberglas);74461-2741266;EUR50,000;50000,0;euro;;Nein;0;50000.0,;;2021-04-01;;
1372;https://www.yachtworld.de/Boote/2006/hanse-342-3252638/;2006;10;einmotorig / diesel;Friuli, Friuli-Venezia Giulia, Italien;GFK (Fiberglas);75546-3252638;EUR59,000;59000,0;euro;;Nein;0;59000.0,;;2021-04-01;;
1373;https://www.yachtworld.de/Boote/2006/hanse-342-3818760/;2006;10;einmotorig / diesel;Toulon, France Méditerranée, Frankreich;Anderes;80498-3818760;EUR55,000 Versteuert;55000,0;euro;Ja;Nein;0;55000.0,;;2021-04-01;;
1374;https://www.yachtworld.de/Boote/2006/hanse-342-3583570/;2006;10;einmotorig / diesel;Μεσολογγι, Griechenland;GFK (Fiberglas);1323-3583570;EUR51,990 Versteuert;51990,0;euro;Ja;Nein;0;51990.0,;;2021-04-01;;
1375;https://www.yachtworld.de/Boote/2003/hanse-hanse-341-3735402/;2003;10;einmotorig / diesel;Italia, Italien;GFK (Fiberglas);57770-3735402;EUR47,000;47000,0;euro;;Nein;0;47000.0,;;2021-04-01;;
1376;https://www.yachtworld.de/Boote/2003/hanse-type-341-3730955/;2003;10;einmotorig / diesel;mallorca, Spanien;GFK (Fiberglas);81383-3730955;EUR57,000 Versteuert;57000,0;euro;Ja;Nein;0;57000.0,;;2021-04-01;;
1377;https://www.yachtworld.de/Boote/2005/meta-jbp-32-3812640/;2005;10;einmotorig / diesel;Le Marin, Martinique;Aluminium;75043-3812640;EUR64,000 Versteuert;64000,0;euro;Ja;Nein;0;64000.0,;;2021-04-01;;
1378;https://www.yachtworld.de/Boote/2011/archambault-m34-3750188/;2011;10;  /;,, Italien;Verbund;62889-3750188;EUR65,000 Versteuert;65000,0;euro;Ja;Nein;0;65000.0,;;2021-04-01;;
1379;https://www.yachtworld.de/Boote/2011/archambault-m34-3746389/;2011;10;einmotorig / diesel;Ancona, Italien;GFK (Fiberglas);80134-3746389;EUR65,000 Versteuert;65000,0;euro;Ja;Nein;0;65000.0,;;2021-04-01;;
1380;https://www.yachtworld.de/Boote/2011/archambault-m34-3662735/;2011;10;  /;., Frankreich;Verbund;62889-3662735;EUR59,999;59999,0;euro;;Nein;0;59999.0,;;2021-04-01;;
1381;https://www.yachtworld.de/Boote/2011/archambault-m34-3573672/;2011;10;  /;., Portugal;Verbund;62889-3573672;EUR55,000 Versteuert;55000,0;euro;Ja;Nein;0;55000.0,;;2021-04-01;;
1382;https://www.yachtworld.de/Boote/2001/bavaria-34-3751525/;2001;10;einmotorig / diesel;Willemstad, Niederländische Antillen;GFK (Fiberglas);80874-3751525;US$54,000 Versteuert (EUR46,048);46048,0;euro;Ja;Nein;0;46048.0,;;2021-04-01;;
1383;https://www.yachtworld.de/Boote/2001/beneteau-331-3818327/;2001;10;einmotorig / diesel;Toronto, ON;GFK (Fiberglas);17144-3818327;Can$95,000 (EUR64,476)Reserviert;64476,0;euro;;Ja;0;64476.0,;;2021-04-01;;
1384;https://www.yachtworld.de/Boote/2002/beneteau-331-3164595/;2002;10;einmotorig / diesel;Memphis, TN;GFK (Fiberglas);54331-3164595;US$65,750 (EUR56,067)Reserviert;56067,0;euro;;Ja;0;56067.0,;;2021-04-01;;
1385;https://www.yachtworld.de/Boote/1973/classic-s-s-34-class-classic-sloop-3499732/;1973;10;einmotorig / diesel;Barcelona, Spanien;Holz;74822-3499732;EUR40,000 Versteuert;40000,0;euro;Ja;Nein;0;40000.0,;;2021-04-01;;
1386;https://www.yachtworld.de/Boote/1970/custom-bj-rn-olsen-nimbus-33-2892179/;1970;10;einmotorig / Anderer Treibstoff;Norddeutschland, Deutschland;GFK (Fiberglas);55309-2892179;EUR49,900;49900,0;euro;;Nein;0;49900.0,;;2021-04-01;;
1387;https://www.yachtworld.de/Boote/2001/bavaria-32-3752489/;2001;10;einmotorig / diesel;West Mersea, Essex, Großbritannien;GFK (Fiberglas);80348-3752489;£35,000 Versteuert (EUR41,136)Reserviert;41136,0;euro;Ja;Ja;0;41136.0,;;2021-04-01;;
